deletar,101
extirpar,101
erradicar,101
subtrair,101
descarregar,101
remover,101
extrair,101
arrancar,101
recolher,101
eliminar,101
cortar,101
liberar,101
retirar,101
tirar,101
isolar,101
destituir,101
excluir,101
expulsar,101
separar,101
abolir,101
afastar,101
apagar,101
demitir,101
derrubar,101
despedir,101
destacar,101
exonerar,101
exterminar,101
extinguir,101
sacar,101
suprimir,101
reenviar,111
realocar,111
despachar,111
transportar,111
remeter,111
desviar,111
emitir,111
transmitir,111
transferir,111
enviar,111
mandar,111
deslocar,111
trazer,111
encaminhar,111
expedir,111
remeter,111
fretar,1351
arranjar,1351
colher,1351
reservar,1351
adquirir,1351
pegar,1351
obter,1351
buscar,1351
comprar,1351
ganhar,1351
conseguir,1351
alugar,1351
contratar,1351
arrendar,1351
conquistar,1351
angariar,1351
apanhar,1351
arrematar,1351
captura,1351
alcançar,1351
atingir,1351
chamar,1351
conquistar,1351
encomendar,1351
escolher,1351
juntar,1351
ligar,1351
marcar,1351
reunir,1351
tirar,1351
angariar,1351
apanhar,1351
arrancar,1351
arrematar,1351
auferir,1351
caçar,1351
capturar,1351
catar,1351
embolsar,1351
extrair,1351
guardar,1351
lucrar,1351
pinçar,1351
puxar,1351
segurar,1351
selecionar,1351
telefonar,1351
tapear,181
esbofetear,181
chicotear,181
esmurrar,181
surrar,181
socar,181
martelar,181
açoitar,181
golpear,181
esmagar,181
espancar,181
bater,181
golpear,181
alvejar,181
amassar,181
coçar,181
comprimir,181
cutucar,181
esbarrar,181
correlacionar,222
unificar,222
alternar,222
contrastar,222
coincidir,222
combinar,222
juntar,222
unir,222
comparar,222
reunir,222
bater,222
integrar,222
ligar,222
prender,222
aderir,222
aliar,222
atar,222
atrelar,222
combinar,222
coordenar,222
grudar,222
harmonizar,222
interligar,222
mesclar,222
misturar,222
relacionar,222
somar,222
ornar,222
enlistar,292
diagnosticar,292
pintar,292
retratar,292
encarar,292
classificar,292
descrever,292
identificar,292
definir,292
representar,292
tratar,292
aceitar,292
adotar,292
caracterizar,292
reconhecer,292
conceber,292
conhecer,292
considerar,292
dar,292
entender,292
ter,292
tomar,292
ver,292
imaginar,292
interpretar,292
julgar,292
olhar,292
recordar,292
rememorar,292
reproduzir,292
supor,292
visualizar,292
perceber,292
tomar,292
conhecer,292
enxergar,292
lembrar,292
taxar,292
achar,292
pertubar,311
frustar,311
atemorizar,311
chatear,311
alarmar,311
escandalizar,311
aterrorizar,311
amedrontar,311
deliciar,311
apavorar,311
alegrar,311
decepcionar,311
aborrecer,311
encantar,311
ofender,311
espantar,311
chocar,311
contrariar,311
abalar,311
agradar,311
assustar,311
confundir,311
estimular,311
ferir,311
ameaçar,311
abater,311
acalmar,311
afetar,311
animar,311
atrair,311
atrapalhar,311
cegar,311
comover,311
consolar,311
desanimar,311
desgraçar,311
deslumbrar,311
divertir,311
emocionar,311
empolgar,311
excitar,311
fascinar,311
iludir,311
impressionar,311
incomodar,311
indignar,311
induzir,311
inquietar,311
inspirar,311
intimidar,311
intrigar,311
irritar,311
prejudicar,311
preocupar,311
